step	loss
10	8.460716
20	7.688958
30	7.206179
40	6.972393
50	6.921648
60	6.577611
70	6.385334
80	6.135435
90	6.411036
100	6.021526
110	6.132651
120	6.175994
130	6.101154
140	5.920246
150	6.107786
160	5.943058
170	6.003754
180	5.606263
190	6.064153
200	5.612759
210	5.958136
220	5.814340
230	5.648401
240	5.685418
250	5.672336
260	5.196486
270	5.946486
280	5.885275
290	5.624204
300	5.733867
310	5.608083
320	5.085544
330	5.485435
340	5.327749
350	5.098165
360	5.191334
370	5.190502
380	5.675803
390	5.350692
400	5.316509
410	5.081687
420	5.504212
430	5.090055
440	5.180219
450	5.348443
460	5.139428
470	4.871051
480	5.161832
490	5.096089
500	5.291711
510	4.842820
520	5.250027
530	4.866520
540	5.269000
550	5.100640
560	4.962352
570	5.044948
580	5.119598
590	4.491436
600	5.329103
610	5.301072
620	4.985168
630	5.045115
640	4.988950
650	4.448606
660	4.927216
670	4.789720
680	4.672257
690	4.690042
700	4.442202
710	5.146673
720	4.857786
730	4.882207
740	4.610674
750	5.088376
760	4.611421
770	4.714744
780	4.920251
790	4.675858
800	4.423817
810	4.659202
820	4.733236
830	4.883237
840	4.468748
850	4.754346
860	4.420126
870	4.851269
880	4.666625
890	4.613926
900	4.604746
910	4.727443
920	3.989161
930	4.989339
940	4.890693
950	4.532707
960	4.617720
970	4.637853
980	4.060994
990	4.491815
1000	4.407126
1010	4.410388
1020	4.296389
1030	4.089920
1040	4.794206
1050	4.530626
1060	4.538453
1070	4.279430
1080	4.817336
1090	4.314162
1100	4.400575
1110	4.612627
1120	4.433190
1130	4.170504
1140	4.326622
1150	4.483425
1160	4.561029
1170	4.172802
1180	4.374634
1190	4.092512
1200	4.567482
1210	4.385414
1220	4.289707
1230	4.262373
1240	4.435497
1250	3.683010
1260	4.677475
1270	4.596552
1280	4.202632
1290	4.331623
1300	4.330168
1310	3.859037
1320	4.148705
1330	4.126608
1340	4.140278
1350	3.971179
1360	3.743143
1370	4.452321
1380	4.256316
1390	4.257319
1400	4.022607
1410	4.527245
1420	4.039163
1430	4.140233
1440	4.292603
1450	4.174395
1460	3.878564
1470	4.056664
1480	4.184176
1490	4.244397
1500	3.923410
1510	4.015647
1520	3.777812
1530	4.270674
1540	4.106933
1550	3.938759
1560	3.937544
1570	4.099533
1580	3.420866
1590	4.289095
1600	4.268602
1610	3.815018
1620	4.027425
1630	4.006524
1640	3.571960
1650	3.846407
1660	3.875803
1670	3.894963
1680	3.613193
1690	3.477693
1700	4.149417
1710	4.006567
1720	3.922664
1730	3.711551
1740	4.194095
1750	3.739540
1760	3.802256
1770	3.985965
1780	3.925384
1790	3.634909
1800	3.808585
1810	3.935065
1820	4.002209
1830	3.674011
1840	3.682757
1850	3.539592
1860	3.979995
1870	3.770132
1880	3.557223
1890	3.589550
1900	3.812535
1910	3.100225
1920	3.895575
1930	3.897136
1940	3.472364
1950	3.789632
1960	3.723102
1970	3.291262
1980	3.615946
1990	3.610330
2000	3.559333
2010	3.242600
2020	3.194961
2030	3.771070
2040	3.606710
2050	3.532082
2060	3.387953
2070	3.796828
2080	3.410644
2090	3.489117
2100	3.601146
2110	3.518482
2120	3.347545
2130	3.463961
2140	3.499511
2150	3.635248
2160	3.363110
2170	3.271752
2180	3.182714
2190	3.594069
2200	3.427782
2210	3.182159
2220	3.173774
2230	3.433418
2240	2.793326
2250	3.400657
2260	3.455362
2270	3.049289
2280	3.350118
